last_name_first_name,player_id,year,p_formatted_ip,pa,strikeout,k_percent,bb_percent,p_era,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent
"Miley, Wade",489119,2019,167.1,720,140,19.4,8.5,3.98,5,32.5,22.9,44.6
"Gonzales, Marco",594835,2019,203,866,147,17,6.5,3.99,5.4,35.2,18,47.7
"Gonsolin, Tony",664062,2022,130.1,498,119,23.9,7,2.14,5.6,35,27.2,49.7
"Kikuchi, Yusei",579328,2023,167.2,700,181,25.9,6.9,3.86,9,42.4,28,48.7
"Anderson, Tyler",542881,2022,178.2,707,138,19.5,4.8,2.57,5,28.5,24.3,52.7
"Mahle, Tyler",641816,2025,86.2,346,66,19.1,8.4,2.18,8,37.1,23.2,49.9
"Quintana, Jose",500779,2019,171,745,152,20.4,6.2,4.68,6.5,37.9,20.9,44.3
"Gray, Josiah",680686,2022,148.2,649,154,23.7,10.2,5.02,10.8,36.9,27,44.8
"Rogers, Tyler",643511,2021,81,326,55,16.9,4,2.22,2,32,16.5,51
"Skubal, Tarik",669373,2022,117.2,477,117,24.5,6.7,3.52,5.5,39.4,26.4,50.7
"Montas, Frankie",593423,2021,187,778,207,26.6,7.3,3.37,8.7,42.3,29.6,50.5
"Corbin, Patrick",571578,2025,155.1,663,131,19.8,7.7,4.4,8.4,40.4,26.9,46.3
"Bibee, Tanner",676440,2025,182.1,762,162,21.3,7.1,4.24,8.1,36.6,23.8,46.3
"Feltner, Ryan",663372,2022,97.1,428,84,19.6,8.2,5.83,8.3,42.6,20.8,46.1
"Peralta, Freddy",642547,2021,144.1,580,195,33.6,9.7,2.81,6,31.8,34.2,45.6
"Walker, Ryan",676254,2024,80,308,99,32.1,5.8,1.91,6,30.2,28.6,46
"Ureña, José",570632,2021,100.2,456,67,14.7,9.2,5.81,8.7,47.8,20.5,46.4
"Ramirez, Nick",598286,2019,79.2,348,74,21.3,10.1,4.07,8.3,29.8,28.3,47
"Beeks, Jalen",656222,2019,104.1,464,89,19.2,8.6,4.31,8,35.9,24.1,45.9
"Webb, Logan",657277,2022,192.1,787,163,20.7,6.2,2.9,5.5,39,24.1,47.3
"Dunning, Dane",641540,2021,117.2,511,114,22.3,8.4,4.51,8.1,43.5,23.2,46.3
"Ynoa, Gabriel",593679,2019,110.2,480,67,14,5.4,5.61,10.8,40.9,20.1,50
"Verlander, Justin",434378,2019,223,847,300,35.4,5,2.58,8.4,33.3,33.6,51.9
"Contreras, Roansy",672710,2022,95,408,86,21.1,9.6,3.79,11,45.9,27.7,47.5
"Smyly, Drew",592767,2021,126.2,546,117,21.4,7.5,4.48,10.2,39,25,49.9
"Heaney, Andrew",571760,2021,129.2,558,150,26.9,7.3,5.83,9.9,40.8,28.3,48.7
"Martin, Davis",663436,2025,142.2,601,104,17.3,8,4.1,9.8,44.6,21.6,49.4
"Bellozo, Valente",678368,2025,81.1,348,54,15.5,6.6,4.65,11.7,41.4,20.2,49.9
"Gordon, Colton",676467,2025,86,379,72,19,5,5.34,11.6,40.6,18,50.5
"Irvin, Cole",608344,2022,181,741,128,17.3,4.9,3.98,9.6,39.5,20.6,52
"Glasnow, Tyler",607192,2025,90.1,366,106,29,11.7,3.19,8,37.4,28.2,42.4
"Springs, Jeffrey",605488,2022,135.1,549,144,26.2,5.6,2.46,5.9,37.7,29.6,50.3
"White, Mitch",669952,2022,99,440,78,17.7,8,5.45,5.6,34,19,48.5
"Abreu, Bryan",650556,2024,78.1,325,103,31.7,9.8,3.1,8.7,38,34,46.2
"Gomber, Austin",596295,2021,115.1,488,113,23.2,8.4,4.53,9.4,33.8,26.1,46.4
