last_name_first_name,player_id,year,player_age,ab,pa,hit,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,babip,b_gnd_into_dp,b_hit_ground,b_out_ground,xba,barrel_batted_rate,hard_hit_percent,pull_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,gb_babip,straightaway_percent,shift_allowed
"Jones, JaCoby",592444,2019,27,298,333,70,0.235,0.43,0.31,0.74,0.304,6,19,66,0.247,11.7,47.6,40.8,23.8,41.3,24.8,25.7,0.2235294117647059,35.400000000000006,Shift Allowed
"Judge, Aaron",592450,2019,27,378,447,103,0.272,0.54,0.381,0.921,0.36,11,27,71,0.278,21.2,58.4,37.8,27.3,41.2,26.5,30.7,0.2755102040816326,34.900000000000006,Shift Allowed
"Machado, Manny",592518,2019,26,587,661,150,0.256,0.462,0.334,0.796,0.274,24,47,148,0.261,8.7,43.7,31.4,27.5,42.2,25.8,21.4,0.24102564102564103,41.099999999999994,Shift Allowed
"Moran, Colin",592567,2019,26,466,503,129,0.277,0.429,0.322,0.751,0.341,13,37,118,0.26,8,34.8,40.2,23.2,43.9,19.3,30,0.23870967741935484,36.599999999999994,Shift Allowed
"Pederson, Joc",592626,2019,27,450,514,112,0.249,0.538,0.339,0.877,0.249,4,35,110,0.245,11.6,43.5,46,18.5,42.5,26.1,21.1,0.2413793103448276,35.5,Shift Allowed
"Realmuto, J.T.",592663,2019,28,538,593,148,0.275,0.493,0.328,0.821,0.309,12,47,121,0.273,9.5,41.1,40.7,24.6,39.7,23.9,28.4,0.27976190476190477,34.699999999999996,Shift Allowed
"Renfroe, Hunter",592669,2019,27,440,494,95,0.216,0.489,0.289,0.778,0.239,6,22,82,0.22,13.3,39.4,53.4,13.4,35.6,32.9,20.2,0.21153846153846154,33.2,Shift Allowed
"Rosario, Eddie",592696,2019,27,562,590,155,0.276,0.5,0.3,0.8,0.273,10,38,144,0.26,9.4,36,44.4,20.1,37.8,29.7,23.4,0.2087912087912088,35.5,Shift Allowed
"Simmons, Andrelton",592743,2019,29,398,424,105,0.264,0.364,0.309,0.673,0.277,21,57,142,0.243,1.9,33.6,47.1,18,55.1,18.3,15,0.2864321608040201,34.9,Shift Allowed
"Wilkerson, Stevie",592859,2019,27,329,361,74,0.225,0.383,0.286,0.669,0.3,5,21,83,0.198,3.8,30.4,41.1,23.7,46.4,22.3,23.2,0.20192307692307693,35.2,Shift Allowed
"Yelich, Christian",592885,2019,27,489,580,161,0.329,0.671,0.429,1.1,0.355,8,45,115,0.31,17.1,49.1,35.8,23.3,42.8,28.1,24.1,0.28125,40.900000000000006,Shift Allowed
"Merrifield, Whit",593160,2019,30,681,735,206,0.302,0.463,0.348,0.811,0.35,8,62,153,0.281,4.8,29.2,34.5,27.9,38.5,23.1,32.4,0.28837209302325584,37.6,Shift Allowed
"Bogaerts, Xander",593428,2019,26,614,698,190,0.309,0.555,0.384,0.939,0.338,11,60,151,0.274,9.3,44.5,36.5,24.1,42.4,26.3,23.5,0.2843601895734597,39.4,Shift Allowed
"Alberto, Hanser",593643,2019,26,524,550,160,0.305,0.422,0.329,0.751,0.318,9,64,167,0.279,3.2,18.5,38.3,23.8,48.1,22.9,23.5,0.27705627705627706,37.900000000000006,Shift Allowed
"Polanco, Jorge",593871,2019,25,631,704,186,0.295,0.485,0.356,0.841,0.328,11,50,117,0.271,7.5,33.1,34.7,26.3,31.9,29,30.9,0.2994011976047904,39,Shift Allowed
"Sanó, Miguel",593934,2019,26,380,439,94,0.247,0.576,0.346,0.922,0.319,5,18,62,0.235,22.6,57.2,52.7,14.9,36,32.4,22.5,0.225,32.4,Shift Allowed
"Calhoun, Kole",594777,2019,31,552,632,128,0.232,0.467,0.325,0.792,0.265,14,27,135,0.241,12.3,42.6,47.4,19.4,41.3,28.3,25,0.16666666666666666,33.2,Shift Allowed
"Eaton, Adam",594809,2019,30,566,656,158,0.279,0.428,0.365,0.793,0.319,8,63,136,0.256,4.4,34.3,29.4,31.6,42.2,23.3,25.8,0.3165829145728643,38.99999999999999,Shift Allowed
"Garcia, Greg",594824,2019,29,311,372,77,0.248,0.354,0.364,0.718,0.323,4,35,97,0.217,2.8,27,26,34.2,57.1,13.9,25.5,0.26515151515151514,39.8,Shift Allowed
"Kiermaier, Kevin",595281,2019,29,447,480,102,0.228,0.398,0.278,0.676,0.267,8,41,143,0.243,6,37.7,32.5,22.3,53.3,18.3,20.9,0.22282608695652173,45.2,Shift Allowed
"Alfaro, Jorge",595751,2019,26,431,465,113,0.262,0.425,0.312,0.737,0.364,12,40,105,0.251,12.2,44.8,27.6,31.5,52,20.4,25.1,0.27586206896551724,40.900000000000006,Shift Allowed
"Profar, Jurickson",595777,2019,26,459,518,100,0.218,0.41,0.301,0.711,0.218,12,28,138,0.25,7.3,31.3,47,22,42.9,23.3,23.3,0.1686746987951807,31,Shift Allowed
"Báez, Javier",595879,2019,26,531,561,149,0.281,0.531,0.316,0.847,0.345,16,54,136,0.26,14.5,43.6,31.6,27.9,50.4,22.5,24.7,0.28421052631578947,40.50000000000001,Shift Allowed
"Hedges, Austin",595978,2019,26,312,347,55,0.176,0.311,0.252,0.563,0.228,3,9,60,0.195,9.4,32.5,46.6,18,33.5,29.1,23.3,0.13043478260869565,35.4,Shift Allowed
"Lindor, Francisco",596019,2019,25,598,654,170,0.284,0.518,0.335,0.853,0.291,13,65,163,0.273,8.4,41,41.4,22.1,45,22.5,24.3,0.2850877192982456,36.5,Shift Allowed
"Odor, Rougned",596059,2019,25,522,581,107,0.205,0.439,0.283,0.722,0.244,4,30,103,0.221,15.4,45.6,45.7,18.8,38.4,28.9,21.7,0.22556390977443608,35.5,Shift Allowed
"Smith Jr., Dwight",596105,2019,26,357,392,86,0.241,0.412,0.297,0.709,0.274,8,34,103,0.236,4.2,39.3,29.6,26.8,48.9,22.1,22.9,0.24817518248175183,43.60000000000001,Shift Allowed
"Story, Trevor",596115,2019,26,588,656,173,0.294,0.554,0.363,0.917,0.361,3,45,96,0.26,9.2,46,37.4,27.8,33.8,28.1,30,0.3191489361702128,34.8,Shift Allowed
"Vogelbach, Daniel",596129,2019,26,462,558,96,0.208,0.439,0.341,0.78,0.232,4,13,93,0.224,11.3,38,37.5,25.7,33.7,29.2,27.9,0.12264150943396226,36.8,Shift Allowed
"Sánchez, Gary",596142,2019,26,396,446,92,0.232,0.525,0.316,0.841,0.244,3,14,74,0.251,21.1,41.9,47.8,21,32.4,32.7,22.8,0.1590909090909091,31.200000000000003,Shift Allowed
"Cuthbert, Cheslor",596144,2019,26,309,330,76,0.246,0.379,0.294,0.673,0.288,14,23,79,0.248,4.9,37.6,42.1,21.1,42.1,19.8,26.9,0.22549019607843138,36.8,Shift Allowed
"Kepler, Max",596146,2019,26,524,596,132,0.252,0.519,0.336,0.855,0.244,5,30,124,0.259,10,42.1,50.8,19.1,35.9,29.8,21.7,0.19480519480519481,30.1,Shift Allowed
"Franco, Maikel",596748,2019,26,389,428,91,0.234,0.409,0.297,0.706,0.236,14,30,113,0.245,7.9,38.4,42,23.3,43.2,21.8,20.2,0.2097902097902098,34.7,Shift Allowed
"Choi, Ji Man",596847,2019,28,410,487,107,0.261,0.459,0.363,0.822,0.303,7,32,96,0.26,12,42.7,33.3,23.9,41.4,26.9,27.8,0.25,42.800000000000004,Shift Allowed
"Bradley Jr., Jackie",598265,2019,29,494,567,111,0.225,0.421,0.317,0.738,0.281,6,40,135,0.228,10.4,44.8,36.3,23.5,50.9,24.4,19.8,0.22857142857142856,40.2,Shift Allowed
"La Stella, Tommy",600303,2019,30,292,321,86,0.295,0.486,0.346,0.832,0.282,8,25,95,0.297,5.9,31.2,39.8,25.8,45.5,21.6,25.8,0.20833333333333334,34.400000000000006,Shift Allowed
"Severino, Pedro",600474,2019,25,305,341,76,0.249,0.42,0.321,0.741,0.285,5,17,78,0.265,9.3,33.6,43.4,16.6,40.4,22.1,27.2,0.17894736842105263,40,Shift Allowed
"Núñez, Renato",600524,2019,25,541,599,132,0.244,0.46,0.311,0.771,0.272,9,31,102,0.252,11.8,40.9,41.8,26.4,33.1,27.9,25.9,0.23308270676691728,31.800000000000004,Shift Allowed
"Candelario, Jeimer",600869,2019,25,335,386,68,0.203,0.337,0.306,0.643,0.262,3,13,78,0.231,6.6,33.8,43,19.4,38.4,26.6,24.9,0.14285714285714285,37.6,Shift Allowed
"Ahmed, Nick",605113,2019,29,556,625,141,0.254,0.437,0.316,0.753,0.28,15,45,176,0.256,6.9,34,33.6,24.8,48.5,22.8,24.3,0.20361990950226244,41.60000000000001,Shift Allowed
"Anderson, Brian",605119,2019,26,459,520,120,0.261,0.468,0.342,0.81,0.305,15,37,122,0.253,9.7,46,31.6,29.3,45.7,24.1,23.9,0.23270440251572327,39.10000000000001,Shift Allowed
"Bell, Josh",605137,2019,26,527,613,146,0.277,0.569,0.367,0.936,0.288,11,37,146,0.281,13.9,47.2,38.9,25.7,44,26.9,22.8,0.20218579234972678,35.400000000000006,Shift Allowed
"Betts, Mookie",605141,2019,26,597,706,176,0.295,0.524,0.391,0.915,0.309,11,40,121,0.311,10.9,47.4,39.6,22.4,31.9,30.5,29.1,0.2484472049689441,38,Shift Allowed
"Davis, J.D.",605204,2019,26,410,453,126,0.307,0.527,0.369,0.896,0.355,14,41,104,0.308,11.9,47.9,34.6,23.2,46,21.6,28.6,0.2827586206896552,42.2,Shift Allowed
